Count,gender,Age<18,Age18-39,Age40-59,Age>60,"group(alone-1,group-0)",Crossing Speed < 1,Crossing Speed_1-1.2,Crossing Speed_1.2-1.4,Crossing Speed>1.4,Compliance with traffic,time of the day,time taken,Location
1,1,0,1,0,0,1,0,1,0,0,1,8:30 - 9:30,22,Lal bahadur shastri chawk
2,0,0,1,0,0,1,0,1,0,0,1,8:30 - 9:30,21,Lal bahadur shastri chawk
3,1,0,1,0,0,1,0,1,0,0,1,8:30 - 9:30,21,Lal bahadur shastri chawk
4,1,0,0,1,0,0,0,1,0,0,0,8:30 - 9:30,22,Lal bahadur shastri chawk
5,0,0,0,1,0,0,1,0,0,0,0,8:30 - 9:30,28,Lal bahadur shastri chawk
6,1,0,0,1,0,0,1,0,0,0,0,8:30 - 9:30,27,Lal bahadur shastri chawk
7,1,0,0,1,0,0,1,0,0,0,1,8:30 - 9:30,28,Lal bahadur shastri chawk
8,1,0,0,0,1,1,1,0,0,0,1,8:30 - 9:30,26,Lal bahadur shastri chawk
9,1,0,0,0,1,0,0,0,1,0,1,8:30 - 9:30,20,Lal bahadur shastri chawk
10,1,0,0,0,1,0,0,0,1,0,0,8:30 - 9:30,19,Lal bahadur shastri chawk
11,0,0,0,1,0,1,0,0,1,0,0,8:30 - 9:30,19,Lal bahadur shastri chawk
12,0,0,0,1,0,1,0,0,0,1,1,8:30 - 9:30,14,Lal bahadur shastri chawk
13,0,0,1,0,0,1,0,0,0,1,1,8:30 - 9:30,17,Lal bahadur shastri chawk
14,1,0,1,0,0,1,0,0,0,1,1,8:30 - 9:30,16,Lal bahadur shastri chawk
15,0,0,1,0,0,1,0,1,0,0,0,8:30 - 9:30,22,Lal bahadur shastri chawk
16,1,0,1,0,0,0,0,1,0,0,1,8:30 - 9:30,21,Lal bahadur shastri chawk
17,0,0,1,0,0,0,0,1,0,0,0,8:30 - 9:30,22,Lal bahadur shastri chawk
18,0,0,1,0,0,1,0,1,0,0,1,8:30 - 9:30,24,Lal bahadur shastri chawk
