,Gender,Pedestrian_grp,Cross_Compliance,TOD,Crossing_time,Location,Cross_Speed,Age_grp
0,Male,Single,Yes,8:30-9:30,22,Lal bahadur shastri chawk,1-1.2,18-39
1,Female,Single,Yes,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,18-39
2,Male,Single,Yes,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,18-39
3,Male,Group,No,8:30-9:30,22,Lal bahadur shastri chawk,1-1.2,40-59
4,Female,Group,No,8:30-9:30,28,Lal bahadur shastri chawk, < 1,40-59
5,Male,Group,No,8:30-9:30,27,Lal bahadur shastri chawk, < 1,40-59
6,Male,Group,Yes,8:30-9:30,28,Lal bahadur shastri chawk, < 1,40-59
7,Male,Single,Yes,8:30-9:30,26,Lal bahadur shastri chawk, < 1,>60
8,Male,Group,Yes,8:30-9:30,20,Lal bahadur shastri chawk,1.2-1.4,>60
9,Male,Group,No,8:30-9:30,19,Lal bahadur shastri chawk,1.2-1.4,>60
10,Female,Single,No,8:30-9:30,19,Lal bahadur shastri chawk,1.2-1.4,40-59
11,Female,Single,Yes,8:30-9:30,14,Lal bahadur shastri chawk,>1.4,40-59
12,Female,Single,Yes,8:30-9:30,17,Lal bahadur shastri chawk,>1.4,18-39
13,Male,Single,Yes,8:30-9:30,16,Lal bahadur shastri chawk,>1.4,18-39
14,Female,Single,No,8:30-9:30,22,Lal bahadur shastri chawk,1-1.2,18-39
15,Male,Group,Yes,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,18-39
16,Female,Group,No,8:30-9:30,22,Lal bahadur shastri chawk,1-1.2,18-39
17,Female,Single,Yes,8:30-9:30,24,Lal bahadur shastri chawk,1-1.2,18-39
18,Female,Single,Yes,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,40-59
19,Female,Single,Yes,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,40-59
20,Female,Single,Yes,8:30-9:30,19,Lal bahadur shastri chawk,1.2-1.4,40-59
21,Male,Single,No,8:30-9:30,18,Lal bahadur shastri chawk,1.2-1.4,40-59
22,Female,Group,Yes,8:30-9:30,19,Lal bahadur shastri chawk,1.2-1.4,>60
23,Male,Group,Yes,8:30-9:30,19,Lal bahadur shastri chawk,1.2-1.4,>60
24,Male,Single,Yes,8:30-9:30,19,Lal bahadur shastri chawk,1.2-1.4,>60
25,Male,Group,Yes,8:30-9:30,23,Lal bahadur shastri chawk,1-1.2,>60
26,Female,Group,No,8:30-9:30,24,Lal bahadur shastri chawk,1-1.2,>60
27,Male,Single,Yes,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,18-39
28,Female,Single,Yes,8:30-9:30,26,Lal bahadur shastri chawk, < 1,18-39
29,Male,Single,Yes,8:30-9:30,26,Lal bahadur shastri chawk, < 1,18-39
30,Male,Single,No,8:30-9:30,28,Lal bahadur shastri chawk, < 1,18-39
31,Female,Single,Yes,8:30-9:30,24,Lal bahadur shastri chawk,1-1.2,18-39
32,Male,Single,Yes,8:30-9:30,24,Lal bahadur shastri chawk,1-1.2,<18
33,Male,Group,No,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,<18
34,Male,Group,Yes,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,<18
35,Male,Single,Yes,8:30-9:30,20,Lal bahadur shastri chawk,1.2-1.4,<18
36,Male,Single,No,8:30-9:30,20,Lal bahadur shastri chawk,1.2-1.4,18-39
37,Female,Single,Yes,8:30-9:30,19,Lal bahadur shastri chawk,1.2-1.4,>60
38,Female,Single,Yes,8:30-9:30,17,Lal bahadur shastri chawk,>1.4,>60
39,Female,Single,Yes,8:30-9:30,16,Lal bahadur shastri chawk,>1.4,40-59
40,Female,Single,Yes,8:30-9:30,15,Lal bahadur shastri chawk,>1.4,40-59
41,Male,Single,Yes,8:30-9:30,22,Lal bahadur shastri chawk,1-1.2,18-39
42,Male,Single,Yes,8:30-9:30,29,Lal bahadur shastri chawk, < 1,18-39
43,Male,Single,Yes,8:30-9:30,28,Lal bahadur shastri chawk, < 1,18-39
44,Male,Group,No,8:30-9:30,18,Lal bahadur shastri chawk,1.2-1.4,<18
45,Female,Group,No,8:30-9:30,19,Lal bahadur shastri chawk,1.2-1.4,18-39
46,Female,Single,No,8:30-9:30,18,Lal bahadur shastri chawk,1.2-1.4,18-39
47,Female,Single,Yes,8:30-9:30,17,Lal bahadur shastri chawk,>1.4,18-39
48,Male,Single,Yes,8:30-9:30,16,Lal bahadur shastri chawk,>1.4,18-39
49,Male,Single,Yes,8:30-9:30,17,Lal bahadur shastri chawk,>1.4,40-59
50,Male,Single,Yes,8:30-9:30,24,Lal bahadur shastri chawk,1-1.2,40-59
51,Female,Single,No,8:30-9:30,22,Lal bahadur shastri chawk,1-1.2,40-59
52,Male,Single,Yes,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,40-59
53,Male,Group,No,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,>60
54,Male,Group,Yes,8:30-9:30,24,Lal bahadur shastri chawk,1-1.2,>60
55,Female,Single,No,8:30-9:30,27,Lal bahadur shastri chawk, < 1,>60
56,Male,Single,No,8:30-9:30,25,Lal bahadur shastri chawk, < 1,18-39
57,Male,Single,No,8:30-9:30,25,Lal bahadur shastri chawk, < 1,18-39
58,Female,Single,Yes,8:30-9:30,25,Lal bahadur shastri chawk, < 1,18-39
59,Female,Single,No,8:30-9:30,23,Lal bahadur shastri chawk,1-1.2,18-39
60,Female,Single,No,8:30-9:30,24,Lal bahadur shastri chawk,1-1.2,18-39
61,Female,Single,Yes,8:30-9:30,24,Lal bahadur shastri chawk,1-1.2,40-59
62,Female,Single,No,8:30-9:30,25,Lal bahadur shastri chawk, < 1,<18
63,Female,Single,Yes,8:30-9:30,27,Lal bahadur shastri chawk, < 1,<18
64,Female,Group,Yes,8:30-9:30,26,Lal bahadur shastri chawk, < 1,<18
65,Female,Group,No,8:30-9:30,28,Lal bahadur shastri chawk, < 1,>60
66,Female,Single,Yes,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,>60
67,Male,Single,Yes,8:30-9:30,23,Lal bahadur shastri chawk,1-1.2,>60
68,Male,Group,Yes,8:30-9:30,25,Lal bahadur shastri chawk, < 1,18-39
69,Male,Group,No,8:30-9:30,22,Lal bahadur shastri chawk,1-1.2,18-39
70,Female,Single,Yes,8:30-9:30,20,Lal bahadur shastri chawk,1.2-1.4,18-39
71,Male,Single,Yes,8:30-9:30,19,Lal bahadur shastri chawk,1.2-1.4,18-39
72,Male,Single,No,8:30-9:30,17,Lal bahadur shastri chawk,>1.4,18-39
73,Male,Single,Yes,8:30-9:30,17,Lal bahadur shastri chawk,>1.4,18-39
74,Female,Single,No,8:30-9:30,15,Lal bahadur shastri chawk,>1.4,40-59
75,Male,Single,Yes,8:30-9:30,24,Lal bahadur shastri chawk,1-1.2,40-59
76,Male,Single,No,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,18-39
77,Female,Single,No,8:30-9:30,24,Lal bahadur shastri chawk,1-1.2,<18
78,Male,Single,Yes,8:30-9:30,21,Lal bahadur shastri chawk,1-1.2,<18
79,Female,Single,Yes,8:30-9:30,22,Lal bahadur shastri chawk,1-1.2,<18
80,Male,Single,No,8:30-9:30,26,Lal bahadur shastri chawk, < 1,<18
81,Male,Single,Yes,8:30-9:30,29,Lal bahadur shastri chawk, < 1,18-39
82,Female,Single,Yes,8:30-9:30,27,Lal bahadur shastri chawk, < 1,18-39
83,Male,Single,Yes,8:30-9:30,28,Lal bahadur shastri chawk, < 1,18-39
84,Female,Single,Yes,8:30-9:30,22,Lal bahadur shastri chawk,1-1.2,18-39
85,Male,Single,Yes,8:30-9:30,23,Lal bahadur shastri chawk,1-1.2,18-39
86,Male,Single,No,8:30-9:30,22,Lal bahadur shastri chawk,1-1.2,40-59
87,Male,Group,Yes,8:30-9:30,26,Lal bahadur shastri chawk, < 1,40-59
88,Male,Group,No,8:30-9:30,27,Lal bahadur shastri chawk, < 1,40-59
